ID,Typ,"Katalogové číslo",Jméno,Publikovaný,"Je zvýrazněný?","Viditelnost v katalogu","Krátký popis",Popis,"Sleva začíná dne","Sleva končí dne","Stav daně","Daňová třída",Skladem?,Sklad,"Práh nízkého skladu","Povoleno objednávání?","Prodávat samostatně?","Hmotnost (kg)","Délka (cm)","Šířka (cm)","Výška (cm)","Povolit zákaznické recenze?","Poznámka k nákupu","Cena po slevě","Běžná cena",Kategorie,Štítky,"Třída dopravy",Obrázky,"Limit stahování","Expirace stahování ve dnech",Nadřazené,"Seskupené produkty","Navyšovací prodej","Doplňkový prodej","Externí URL","Text tlačítka",Pozice,"Název 1 vlastnosti","Hodnota(y) 1 vlastnosti","Vlastnost 1 viditelnost","Vlastnost 1 globální","Název 2 vlastnosti","Hodnota(y) 2 vlastnosti","Vlastnost 2 viditelnost","Vlastnost 2 globální","Název 3 vlastnosti","Hodnota(y) 3 vlastnosti","Vlastnost 3 viditelnost","Vlastnost 3 globální","Název 4 vlastnosti","Hodnota(y) 4 vlastnosti","Vlastnost 4 viditelnost","Vlastnost 4 globální"
389,simple,,"Česká středoškolská unie",1,0,visible,,"Česká středoškolská unie je spolek středoškoláků, který jim dává možnost se rozvíjet. Přidat se můžeš jak do již existujících projektů, tak přijít s vlastním. Ať už zajímá grafika, PR nebo se chceš angažovat ve studentských samosprávách, své místo si v ČSU najdeš. https://stredoskolskaunie.cz/nabor/",,,taxable,,1,,,0,0,,,,,0,,,,"Databáze aktivit",,,http://www.budaktivni.cz/wp-content/uploads/2020/11/BudAktivniLogoClaim-resize-1.png,,,,,,,,,0,Místo,"celá ČR/online",1,1,"Pro koho","student SŠ",1,1,"Typ aktivity","Dobrovolnictví, Osobní rozvoj",1,1,,,,
390,simple,,"Rise and Shine",1,0,visible,,"<a href=""https://www.riseandshine.cz/"" target=""_blank"" rel=""noopener noreferrer"">Rise and Shine</a> je komunita lidí, kteří organizují konference na různá témata, na kterých vystupují znamé osobnosti daných témat. Konference se týkají například podnikání, cestování nebo vztahů.",,,taxable,,1,,,0,0,,,,,0,,,,"Databáze aktivit",,,http://www.budaktivni.cz/wp-content/uploads/2020/11/BudAktivniLogoClaim-resize-1.png,,,,,,,,,0,Místo,"celá ČR/online",1,1,"Pro koho","student SŠ, student VŠ",1,1,"Typ aktivity","Osobní rozvoj",1,1,,,,
391,simple,,"Persefona z.s.",1,0,visible,,"Organizace <a href=""http://www.persefona.cz"" target=""_blank"" rel=""noopener noreferrer"">Persefona z.s</a>., jejímž posláním je zvyšovat porozumění všem aspektům problematiky domácího a sexuálního násilí a hledání způsobů jeho řešení. Dobrovolník se bude podílet na různorodých administrativních a organizačních činnostech souvisejících s působením organizace.",,,taxable,,1,,,0,0,,,,,0,,,,"Databáze aktivit",,,http://www.budaktivni.cz/wp-content/uploads/2020/11/BudAktivniLogoClaim-resize-1.png,,,,,,,,,0,Místo,"Jihomoravský kraj",1,1,"Pro koho","student SŠ, student VŠ",1,1,"Typ aktivity","Osobní rozvoj",1,1,Obor,"Administrativa, Event management",1,1
392,simple,,Lékořice,1,0,visible,,"Pomoc při pořádání jednorázových akcí pro dětské i dospělé pacienty. Dlouhodobá spolupráce spočívající v různých druzích pomoci na jednotlivých odděleních podle toho, jak se navzájem dobrovolník s koordinátorem a personálem dohodne a také podle potřeb daných oddělení. http://www.lekorice.com/dobrovolnicka-centra/",,,taxable,,1,,,0,0,,,,,0,,,,"Databáze aktivit",,,http://www.budaktivni.cz/wp-content/uploads/2020/11/BudAktivniLogoClaim-resize-1.png,,,,,,,,,0,Místo,Praha,1,1,"Pro koho","student SŠ, student VŠ",1,1,"Typ aktivity",Dobrovolnictví,1,1,,,,
393,simple,,Hestia,1,0,visible,,"Hestia nabízí několik dobrovolnických programů. Na území Prahy je to program Pět P, který je založen na kamarádském vztahu mezi dobrovolníkem a dítětem. Dalším programem je program Kompas. Poslední programem je 3G, ten je však určen pro dobrovolníky nad 50 let. https://www.hest.cz/cz/co-delame/nase-dobrovolnicke-programy",,,taxable,,1,,,0,0,,,,,0,,,,"Databáze aktivit",,,http://www.budaktivni.cz/wp-content/uploads/2020/11/BudAktivniLogoClaim-resize-1.png,,,,,,,,,0,Místo,Praha,1,1,"Pro koho","student SŠ, student VŠ",1,1,"Typ aktivity","Dobrovolnictví, Osobní rozvoj",1,1,,,,
394,simple,,InBáze,1,0,visible,,"V InBázi se můžete uplatnit jako dobrovolník v několika oblastech. Můžete působit jako mentor pro dítě a pomáhat mu rozvíjet se ve zvolených oblastech, doučovat češtinu, pomoci na táborech nebo workshopech a další.\n\nhttp://www.inbaze.cz/dobrovolnici/",,,taxable,,1,,,0,0,,,,,0,,,,"Databáze aktivit",,,http://www.budaktivni.cz/wp-content/uploads/2020/11/BudAktivniLogoClaim-resize-1.png,,,,,,,,,0,Místo,Praha,1,1,"Pro koho","student SŠ, student VŠ",1,1,"Typ aktivity",Dobrovolnictví,1,1,,,,
395,simple,,YMCA,1,0,visible,,"Přes YMCA ČR můžete využít možnosti dobrovolnických pobytů v zahraničí. YMCA nabízí krátkodobé i dlouhodobé pobyty. Tak třeba do Anglie, Irska nebo Norska. http://www.ymca.cz/zahranicni-programy/",,,taxable,,1,,,0,0,,,,,0,,,,"Databáze aktivit",,,http://www.budaktivni.cz/wp-content/uploads/2020/11/BudAktivniLogoClaim-resize-1.png,,,,,,,,,0,Místo,Zahraničí,1,1,"Pro koho","student SŠ, student VŠ",1,1,"Typ aktivity","Výjezd do zahraničí",1,1,,,,
396,simple,,"Jeden svět",1,0,visible,,"<a href=""https://www.jedensvet.cz/festival/"" target=""_blank"" rel=""noopener noreferrer"">Jeden svět</a> - zapojit se můžete jako dobrovolník do organizace festivalu dokumentárních filmů nejen v Praze, ale i v dalších víc jak 30 městech. Za pomoc na několika promítání vás čeká festivalová akreditace.\n\n&nbsp;",,,taxable,,1,,,0,0,,,,,0,,,,"Databáze aktivit",,,http://www.budaktivni.cz/wp-content/uploads/2020/11/BudAktivniLogoClaim-resize-1.png,,,,,,,,,0,Místo,"celá ČR/online",1,1,"Pro koho","student SŠ, student VŠ",1,1,"Typ aktivity","Dobrovolnictví, Osobní rozvoj",1,1,,,,
397,simple,,RefuFest,1,0,visible,,"Zapojte se jako dobrovolník do interkulturního festivalu RefuFest.\n\nhttp://refufest.com/",,,taxable,,1,,,0,0,,,,,0,,,,"Databáze aktivit",,,http://www.budaktivni.cz/wp-content/uploads/2020/11/BudAktivniLogoClaim-resize-1.png,,,,,,,,,0,Místo,"celá ČR/online",1,1,"Pro koho","student SŠ, student VŠ",1,1,"Typ aktivity","Dobrovolnictví, Osobní rozvoj",1,1,,,,
398,simple,,"Studium designu a umění",1,0,visible,,"Lze získat stipendium na studium v Itálii či Španělsku. Istituto Europeo di Design (IED) nabízí 38 stipendií pro zájemce o studium magisterských kurzů v oblasti designu, módy, vizuálního umění a komunikace. Kurzy probíhají v Miláně, Barceloně, Florencii, Madridu, Římě, Turíně a Benátkách. Stipendium pokryje 50 % školného.\n\nhttps://www.ied.edu/profession/special-master-scholarships-for-international-students",,,taxable,,1,,,0,0,,,,,0,,,,"Databáze aktivit",,,http://www.budaktivni.cz/wp-content/uploads/2020/11/BudAktivniLogoClaim-resize-1.png,,,,,,,,,0,Místo,Zahraničí,1,1,"Pro koho","student VŠ",1,1,"Typ aktivity","Výjezd do zahraničí",1,1,,,,
399,simple,,INEX-SDA,1,0,visible,,"InexSDA otvírá každý rok rozvojový program InexUP, do kterého se můžeš připojit s nápadem na prospěšný projekt nebo se připojit k již existujícím projektům. Čekají tě semináře na téma jako je projektový management, tvůj vlastní mentor nebo informace o grantech.\n\nhttps://www.inexsda.cz/aktivity/inexup/",,,taxable,,1,,,0,0,,,,,0,,,,"Databáze aktivit",,,http://www.budaktivni.cz/wp-content/uploads/2020/11/BudAktivniLogoClaim-resize-1.png,,,,,,,,,0,Místo,"celá ČR/online",1,1,"Pro koho","student SŠ, student VŠ",1,1,"Typ aktivity","Dobrovolnictví, Osobní rozvoj",1,1,,,,
400,simple,,"stáže NATO",1,0,visible,,"Studenti a absolventi oborů diplomacie, politologie, bezpečnostní studia, evropská studia, mezinárodní vztahy a mezinárodní právo se mohou hlásit na stáž v sídle NATO. https://www.mzv.cz/jnp/cz/udalosti_a_media/tiskove_zpravy/x2019_05_24_vyberove_rizeni_na_staz_v_sidle_nato_v.html",,,taxable,,1,,,0,0,,,,,0,,,,"Databáze aktivit",,,http://www.budaktivni.cz/wp-content/uploads/2020/11/BudAktivniLogoClaim-resize-1.png,,,,,,,,,0,Místo,Zahraničí,1,1,"Pro koho","student VŠ",1,1,"Typ aktivity",Stáž,1,1,,,,
